class_id,target,target_super_group
9a5896f9ff163fe54390aa23e9a05c46,"[{""_id"":""b81a8991dd18c0b47f6bc16c47dfa0ae"",""title"":[{""language"":""English"",""value"":""SSC CGL""}]},{""_id"":""ce93e65e281ffed2347769d363c25b70"",""title"":[{""language"":""English"",""value"":""RRB NTPC""}]},{""_id"":""dc1fde03ccd13f16973f5360cb63f479"",""title"":[{""language"":""English"",""value"":""LIC AAO""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""a4b3f38ba5a80bc0ccb9d7e2be728229"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI PO""}]},{""_id"":""21cde520a11aea91d3b0c222ee9f52a4"",""title"":[{""language"":""English"",""value"":""SBI Clerk""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""e992109a17e84f458f34c1b888c23205"",""title"":[{""language"":""English"",""value"":""SSC Exams""},{""language"":""Hindi"",""value"":""""}]}]"
80714763e74d90914b3251a00a9a1b85,"[{""_id"":""21cde520a11aea91d3b0c222ee9f52a4"",""title"":[{""language"":""English"",""value"":""SBI Clerk""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""a4b3f38ba5a80bc0ccb9d7e2be728229"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI PO""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""8dce41b95f3777d43d7ac6259bf1c39a"",""title"":[{""language"":""English"",""value"":""IBPS PO""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""481abd1205b8a03a63984864cd9419bb"",""title"":[{""language"":""English"",""value"":""IBPS Clerk""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""4fe9e0b9fb1bf8863faf1627ec4393bf"",""title"":[{""language"":""English"",""value"":""IBPS SO""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""267449cef6a69ddba57803a44daea1fa"",""title"":[{""language"":""English"",""value"":""RRB Officer Scale - I""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""5e85dcf35732f4a71776033551e00ca4"",""title"":[{""language"":""English"",""value"":""RRB Office Assistant""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
b6abd291efa202c568f7e24dec8c26dc,"[{""_id"":""8dce41b95f3777d43d7ac6259bf1c39a"",""title"":[{""language"":""English"",""value"":""IBPS PO""}]},{""_id"":""481abd1205b8a03a63984864cd9419bb"",""title"":[{""language"":""English"",""value"":""IBPS Clerk""}]},{""_id"":""a4b3f38ba5a80bc0ccb9d7e2be728229"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI PO""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""21cde520a11aea91d3b0c222ee9f52a4"",""title"":[{""language"":""English"",""value"":""SBI Clerk""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""267449cef6a69ddba57803a44daea1fa"",""title"":[{""language"":""English"",""value"":""RRB Officer Scale - I""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""5e85dcf35732f4a71776033551e00ca4"",""title"":[{""language"":""English"",""value"":""RRB Office Assistant""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
ff9317caee0d6c22fc730a881f0fe1b2,"[{""_id"":""ce93e65e281ffed2347769d363c25b70"",""title"":[{""language"":""English"",""value"":""RRB NTPC""}]},{""_id"":""938273f6322e14e3ae2ea70e96855a1f"",""title"":[{""language"":""English"",""value"":""RRC Group D""}]},{""_id"":""d2fbe7905f7f98b8bad4049d937dc090"",""title"":[{""language"":""English"",""value"":""SSC CPO""}]},{""_id"":""b81a8991dd18c0b47f6bc16c47dfa0ae"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SSC CGL""}]},{""_id"":""b5dc7859e29e978c0c93d8592dd2a3c0"",""title"":[{""language"":""English"",""value"":""SSC CHSL""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""e992109a17e84f458f34c1b888c23205"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SSC Exams""},{""language"":""Hindi"",""value"":""""}]}]"
6eec3063cb4057d3e3e4596295162cb5,"[{""_id"":""b81a8991dd18c0b47f6bc16c47dfa0ae"",""title"":[{""language"":""English"",""value"":""SSC CGL""}]},{""_id"":""ce93e65e281ffed2347769d363c25b70"",""title"":[{""language"":""English"",""value"":""RRB NTPC""}]},{""_id"":""938273f6322e14e3ae2ea70e96855a1f"",""title"":[{""language"":""English"",""value"":""RRC Group D""}]}]",""""""
b9a290b7910a1b844f63d0a68916ebfc,"[{""_id"":""21cde520a11aea91d3b0c222ee9f52a4"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI Clerk""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
248fa73a6000ab4bc59ac1aba167dafc,"[{""_id"":""938273f6322e14e3ae2ea70e96855a1f"",""title"":[{""language"":""English"",""value"":""RRC Group D""}]},{""_id"":""ce93e65e281ffed2347769d363c25b70"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""RRB NTPC""}]},{""_id"":""ddb1ea775d3fb3576b19b053a8cb3a0a"",""title"":[{""language"":""English"",""value"":""RRB JE""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""67bcbee6ffd1bf148fc2fb934d55f07e"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Railways Exams""},{""language"":""Hindi"",""value"":""""}]}]"
e57620808da8faf9a656203e2667c042,"[{""_id"":""938273f6322e14e3ae2ea70e96855a1f"",""title"":[{""language"":""English"",""value"":""RRC Group D""}]},{""_id"":""ce93e65e281ffed2347769d363c25b70"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""RRB NTPC""}]},{""_id"":""ddb1ea775d3fb3576b19b053a8cb3a0a"",""title"":[{""language"":""English"",""value"":""RRB JE""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""67bcbee6ffd1bf148fc2fb934d55f07e"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Railways Exams""},{""language"":""Hindi"",""value"":""""}]}]"
5fce3a4417ae656f68006af999ecffdc,"[{""_id"":""21cde520a11aea91d3b0c222ee9f52a4"",""title"":[{""language"":""English"",""value"":""SBI Clerk""}]},{""_id"":""481abd1205b8a03a63984864cd9419bb"",""title"":[{""language"":""English"",""value"":""IBPS Clerk""}]},{""_id"":""8dce41b95f3777d43d7ac6259bf1c39a"",""title"":[{""language"":""English"",""value"":""IBPS PO""}]},{""_id"":""a4b3f38ba5a80bc0ccb9d7e2be728229"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI PO""}]},{""_id"":""267449cef6a69ddba57803a44daea1fa"",""title"":[{""language"":""English"",""value"":""RRB Officer Scale - I""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""5e85dcf35732f4a71776033551e00ca4"",""title"":[{""language"":""English"",""value"":""RRB Office Assistant""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
cb20045f5a904772d228e8be9112e86d,"[{""_id"":""481abd1205b8a03a63984864cd9419bb"",""title"":[{""language"":""English"",""value"":""IBPS Clerk""}]},{""_id"":""8dce41b95f3777d43d7ac6259bf1c39a"",""title"":[{""language"":""English"",""value"":""IBPS PO""}]},{""_id"":""21cde520a11aea91d3b0c222ee9f52a4"",""title"":[{""language"":""English"",""value"":""SBI Clerk""}]},{""_id"":""a4b3f38ba5a80bc0ccb9d7e2be728229"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI PO""}]},{""_id"":""4fe9e0b9fb1bf8863faf1627ec4393bf"",""title"":[{""language"":""English"",""value"":""IBPS SO""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""267449cef6a69ddba57803a44daea1fa"",""title"":[{""language"":""English"",""value"":""RRB Officer Scale - I""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
531242bb04e4416aef2cb4773d3e657c,"[{""_id"":""ce93e65e281ffed2347769d363c25b70"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""RRB NTPC""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""67bcbee6ffd1bf148fc2fb934d55f07e"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Railways Exams""},{""language"":""Hindi"",""value"":""""}]}]"
d3ec8653363f43482576bf077a54abe0,"[{""_id"":""938273f6322e14e3ae2ea70e96855a1f"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""RRC Group D""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""67bcbee6ffd1bf148fc2fb934d55f07e"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Railways Exams""},{""language"":""Hindi"",""value"":""""}]}]"
63c1c16e7b06c1ce16f01c0ac833ea78,"[{""_id"":""a4b3f38ba5a80bc0ccb9d7e2be728229"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI PO""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
b33b0e9efdc9fc6348550e8dd2621d5b,"[{""_id"":""b81a8991dd18c0b47f6bc16c47dfa0ae"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SSC CGL""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""e992109a17e84f458f34c1b888c23205"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SSC Exams""},{""language"":""Hindi"",""value"":""""}]}]"
288c8641d88102a6666b58dd03f4452d,"[{""_id"":""dc1fde03ccd13f16973f5360cb63f479"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""LIC AAO""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""082939527b4bacf27fe9752a33a1a495"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Insurance Exams""},{""language"":""Hindi"",""value"":""""}]}]"
